signal_id,symbol,entry_time_utc,topix_chg_pct_raw,topix_chg_pct,market_state,blocked_reason,entry_allowed,exit_time_utc,entry_price,exit_price,profit_pct,pnl_yen_100_shares,exit_reason,position_closed,excluded_from_eval,excluded_reason
20260509_230103_base_random_apr_run03_00001,8306.T,2026-04-13T00:06:00+00:00,0.25335697214913483,0.25335697214913483,NORMAL,,True,2026-04-13T00:22:00+00:00,2863.3605,2878.0,0.5112698872531148,1465.0438619238007,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00002,7013.T,2026-04-13T00:10:00+00:00,0.6840591856979494,0.6840591856979494,NORMAL,,True,2026-04-13T00:21:00+00:00,3404.401,3382.0,-0.6580012166604299,-2240.4941427287636,VWAP_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00003,8136.T,2026-04-13T01:32:00+00:00,0.4053649699656629,0.4053649699656629,NORMAL,,False,,977.6767122192382,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260509_230103_base_random_apr_run03_00004,8136.T,2026-04-17T00:09:00+00:00,1.7463917463662573,1.7463917463662573,NORMAL,,True,2026-04-17T00:19:00+00:00,1026.0249999999999,1026.0,-0.0024365878024281648,-2.501157379192511,VWAP_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00005,8136.T,2026-04-17T00:14:00+00:00,1.670464692877386,1.670464692877386,NORMAL,,True,2026-04-17T00:19:00+00:00,1033.5324999999998,1026.0,-0.7288111404333972,-755.777152629433,VWAP_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00006,5803.T,2026-04-17T00:23:00+00:00,1.5692183228741177,1.5692183228741177,NORMAL,,True,2026-04-17T00:44:00+00:00,5908.902999999999,5889.0,-0.3368307112166055,-1993.3641489798715,VWAP_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00007,5016.T,2026-04-17T00:22:00+00:00,1.5439144543868806,1.5439144543868806,NORMAL,,True,2026-04-17T00:31:00+00:00,4960.955999999999,4919.0,-0.8457240902761329,-4203.248728672381,VWAP_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00008,6315.T,2026-04-17T00:25:00+00:00,1.4932912693852465,1.4932912693852465,WEAK,,True,2026-04-17T00:30:00+00:00,2708.7059999999997,2698.0,-0.39524407595359845,-1071.5066899102053,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00009,8136.T,2026-04-17T01:02:00+00:00,1.29081397740587,1.29081397740587,WEAK,,True,2026-04-17T01:20:00+00:00,1029.0279999999998,1029.0,-0.0027210143941459944,-2.808086854758666,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00010,6501.T,2026-04-17T01:14:00+00:00,1.214879199903419,1.214879199903419,WEAK,,True,2026-04-17T01:22:00+00:00,5171.165999999999,5172.0,0.016127890692364977,83.49409011437348,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00011,5803.T,2026-04-17T01:21:00+00:00,1.2401907924042361,1.2401907924042361,WEAK,,True,2026-04-17T01:31:00+00:00,5972.967,5965.0,-0.13338429628021792,-796.7044016817416,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00012,5803.T,2026-04-24T00:18:00+00:00,-1.3236732951446946,-1.3236732951446946,WEAK,,False,,6017.0109999999995,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260509_230103_base_random_apr_run03_00013,6857.T,2026-04-24T00:20:00+00:00,-1.2737278174969533,-1.2737278174969533,WEAK,,False,,28413.385,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260509_230103_base_random_apr_run03_00014,5803.T,2026-04-24T00:32:00+00:00,-1.5484469989917156,-1.5484469989917156,CRASH,"rising<40%,TOPIX_CRASH",False,,6076.07,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260509_230103_base_random_apr_run03_00015,8002.T,2026-04-24T02:17:00+00:00,-1.7981972525490448,-1.7981972525490448,CRASH,"rising<40%,high_update_low,TOPIX_CRASH",False,,6002.996999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260509_230103_base_random_apr_run03_00016,5803.T,2026-04-28T00:10:00+00:00,0.6593979670323461,0.6593979670323461,NORMAL,,True,2026-04-28T00:15:00+00:00,6278.271999999999,6261.0,-0.2751075455156933,-1733.7277518398992,VWAP_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00017,6857.T,2026-04-28T00:12:00+00:00,0.8622938167189895,0.8622938167189895,NORMAL,,True,2026-04-28T00:27:00+00:00,30009.979999999996,29960.0,-0.1665445961643291,-5012.992344546306,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00018,6857.T,2026-04-28T00:21:00+00:00,1.0651819267203502,1.0651819267203502,NORMAL,,False,,30120.089999999997,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260509_230103_base_random_apr_run03_00019,8002.T,2026-04-28T00:39:00+00:00,1.1412630330495397,1.1412630330495397,NORMAL,,True,2026-04-28T00:59:00+00:00,6056.049999999999,6072.0,0.26337299064572994,1596.3036963037691,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260509_230103_base_random_apr_run03_00020,8306.T,2026-04-28T00:40:00+00:00,1.0398189780488594,1.0398189780488594,NORMAL,,True,2026-04-28T01:00:00+00:00,2837.8349999999996,2846.5,0.30533840057651057,866.8557192367134,RECENT_5M_LOW_BREAK_EARLY,True,False,
